P_VOC,P_LEN,P_VOL,P_DIFF,P_EFFO,E_TIME,NO_ERR,NO_LOP,NO_KEY,NO_CON,NO_LIN,NO_OPE,NO_OPA,NO_COM,STATUS
32,308,1540.0,55.07692307692308,84818.46153846155,4712.136752136753,0.5133333333333333,4,24,1,53,129,179,0,1
24,74,339.2872250533656,15.0,5089.308375800484,282.739354211138,0.1130957416844552,1,12,3,19,34,40,4,2
14,41,156.10155180436175,9.333333333333332,1456.9478168407095,80.94154538003941,0.052033850601453914,1,7,2,12,17,24,2,3
22,91,405.80827729599406,22.5,9130.686239159866,507.26034661999256,0.13526942576533135,2,4,0,9,46,45,0,0
26,103,484.14529096853255,28.708333333333336,13899.00439488829,772.1669108271273,0.1613817636561775,2,4,0,13,50,53,0,1
26,103,484.14529096853255,26.5,12829.850210666113,712.7694561481173,0.1613817636561775,2,4,0,13,50,53,0,2
30,114,559.3855278993711,27.0,15103.40925328302,839.0782918490567,0.1864618426331237,2,4,0,7,60,54,0,3
26,378,1776.766213457333,48.0,85284.77824595198,4738.043235886221,0.5922554044857776,12,6,0,52,186,192,7,4
24,40,183.39850002884629,14.25,2613.42862541106,145.19047918950332,0.061132833342948764,0,1,0,2,21,19,0,0
18,40,166.7970000576925,14.25,2376.8572508221177,132.04762504567321,0.05559900001923083,0,1,0,3,21,19,0,1
22,41,182.83669636412918,11.55,2111.7638430056923,117.32021350031624,0.06094556545470973,0,4,0,8,20,21,0,2
24,91,417.23158756562526,22.153846153846153,9243.284401453851,513.5158000807695,0.13907719585520842,1,9,2,16,43,48,0,4
16,23,92.0,4.8,441.59999999999997,24.53333333333333,0.030666666666666665,0,4,0,5,11,12,0,0
28,156,749.9473678409862,33.35294117647059,25012.950445049362,1389.6083580582979,0.2499824559469954,3,11,0,38,75,81,0,3
18,85,354.44362512259653,12.3,4359.656589007937,242.2031438337743,0.1181478750408655,1,5,0,19,44,41,0,2
22,83,370.1328243468957,17.76923076923077,6576.975571087147,365.38753172706373,0.12337760811563189,1,2,0,12,41,42,0,1
20,54,233.38411712391758,11.538461538461537,2692.8936591221254,149.60520328456252,0.07779470570797252,0,7,1,17,24,30,0,2
26,130,611.057163358342,26.8125,16383.970192545545,910.2205662525303,0.20368572111944733,2,6,1,33,64,66,0,3
20,62,267.95954188301647,11.428571428571427,3062.394764377331,170.13304246540727,0.08931984729433882,1,6,0,17,30,32,0,2
26,80,376.0351774512874,17.766666666666666,6680.891652717872,371.1606473732151,0.12534505915042912,2,9,1,26,39,41,1,3
26,87,408.93825547827504,19.066666666666666,7797.089404452444,433.1716335806913,0.13631275182609168,1,6,1,26,43,44,0,3
